Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,17.440001,17.440001,16.870001,17.440001,17.440001,27
2010-01-05,17.781000,17.820000,17.575001,17.781000,17.781000,28
2010-01-06,18.163000,18.190001,17.840000,18.163000,18.163000,38
2010-01-07,18.333000,18.333000,18.090000,18.333000,18.333000,19
2010-01-08,18.458000,18.458000,18.120001,18.458000,18.458000,7
2010-01-10,null,null,null,null,null,null
2010-01-11,18.683001,18.683001,18.683001,18.683001,18.683001,3
2010-01-12,18.700001,18.700001,18.243000,18.243000,18.243000,22
2010-01-13,18.538000,18.538000,18.538000,18.538000,18.538000,35
2010-01-14,18.643000,18.643000,18.643000,18.643000,18.643000,15
2010-01-15,18.395000,18.395000,18.389999,18.410999,18.410999,29
2010-01-17,null,null,null,null,null,null
2010-01-19,18.784000,18.784000,18.480000,18.784000,18.784000,54
2010-01-20,17.865999,17.865999,17.865999,17.865999,17.865999,136
2010-01-21,17.496000,17.496000,17.496000,17.496000,17.496000,6
2010-01-22,16.917999,17.139999,16.917999,16.917999,16.917999,1
2010-01-24,null,null,null,null,null,null
2010-01-25,17.131001,17.131001,17.131001,17.131001,17.131001,5
2010-01-26,16.846001,16.846001,16.846001,16.846001,16.846001,2
2010-01-27,16.427999,16.427999,16.427999,16.427999,16.427999,1
2010-01-28,16.202000,16.202000,16.202000,16.202000,16.202000,55
2010-01-29,16.183001,16.340000,16.100000,16.183001,16.183001,135
2010-01-31,null,null,null,null,null,null
2010-02-01,16.653000,16.653000,16.653000,16.653000,16.653000,23
2010-02-02,16.736000,16.736000,16.736000,16.736000,16.736000,128
2010-02-03,16.620001,16.620001,16.360001,16.309999,16.309999,18
2010-02-04,16.030001,16.030001,15.260000,15.343000,15.343000,3
2010-02-05,14.823000,14.823000,14.823000,14.823000,14.823000,4
2010-02-07,null,null,null,null,null,null
2010-02-08,15.078000,15.160000,15.000000,15.078000,15.078000,54
2010-02-09,15.431000,15.431000,15.431000,15.431000,15.431000,224
2010-02-10,15.302000,15.302000,15.302000,15.302000,15.302000,3
2010-02-11,15.592000,15.592000,15.592000,15.592000,15.592000,300
2010-02-12,15.449000,15.449000,15.449000,15.449000,15.449000,91
2010-02-14,null,null,null,null,null,null
2010-02-16,16.150000,16.150000,16.150000,16.150000,16.150000,91
2010-02-17,16.098000,16.098000,16.098000,16.098000,16.098000,48
2010-02-18,16.059999,16.059999,16.059999,16.059999,16.059999,14
2010-02-19,16.413000,16.413000,16.413000,16.413000,16.413000,14
2010-02-21,null,null,null,null,null,null
2010-02-22,16.222000,16.222000,16.222000,16.222000,16.222000,5
2010-02-23,15.888000,15.888000,15.888000,15.888000,15.888000,5
2010-02-24,15.940000,15.940000,15.940000,15.940000,15.940000,5
2010-02-25,15.930000,16.155001,15.610000,16.110001,16.110001,45350
2010-02-26,16.084999,16.520000,16.025000,16.500000,16.500000,36532
2010-02-28,null,null,null,null,null,null
2010-03-01,16.500000,16.740000,16.415001,16.448999,16.448999,3883
2010-03-02,16.475000,17.075001,16.320000,17.044001,17.044001,1010
2010-03-03,16.945000,17.350000,16.895000,17.309000,17.309000,749
2010-03-04,17.139999,17.350000,17.059999,17.156000,17.156000,852
2010-03-05,17.362000,17.475000,17.129999,17.362000,17.362000,648
2010-03-07,null,null,null,null,null,null
2010-03-08,17.252001,17.480000,17.165001,17.252001,17.252001,339
2010-03-09,17.318001,17.325001,16.910000,17.318001,17.318001,293
2010-03-10,16.993999,16.993999,16.993999,16.993999,16.993999,374
2010-03-11,17.136000,17.136000,16.879999,17.136000,17.136000,256
2010-03-12,17.024000,17.024000,17.024000,17.024000,17.024000,474
2010-03-14,null,null,null,null,null,null
2010-03-15,17.083000,17.120001,17.004999,17.083000,17.083000,351
2010-03-16,17.125000,17.450001,17.125000,17.333000,17.333000,285
2010-03-17,17.502001,17.502001,17.400000,17.502001,17.502001,53
2010-03-18,17.407000,17.520000,17.355000,17.407000,17.407000,55
2010-03-19,17.017000,17.365000,16.990000,17.017000,17.017000,144
2010-03-21,null,null,null,null,null,null
2010-03-22,16.920000,16.920000,16.920000,16.920000,16.920000,209
2010-03-23,17.011999,17.011999,17.011999,17.011999,17.011999,65
2010-03-24,16.625999,16.625999,16.625999,16.625999,16.625999,29
2010-03-25,16.726999,16.726999,16.726999,16.726999,16.726999,31
2010-03-26,16.893999,16.920000,16.590000,16.893999,16.893999,111
2010-03-28,null,null,null,null,null,null
2010-03-29,17.372999,17.372999,17.372999,17.372999,17.372999,114
2010-03-30,17.316000,17.316000,17.316000,17.316000,17.316000,137
2010-03-31,17.511999,17.511999,17.511999,17.511999,17.511999,94
2010-04-01,17.875999,17.945000,17.559999,17.875999,17.875999,24
2010-04-04,null,null,null,null,null,null
2010-04-05,18.104000,18.104000,18.104000,18.104000,18.104000,17
2010-04-06,17.917000,17.917000,17.917000,17.917000,17.917000,11
2010-04-07,18.184999,18.215000,18.170000,18.184999,18.184999,19
2010-04-08,18.115999,18.115999,18.115999,18.115999,18.115999,52
2010-04-09,18.340000,18.340000,18.340000,18.340000,18.340000,44
2010-04-11,null,null,null,null,null,null
2010-04-12,18.403000,18.549999,18.215000,18.403000,18.403000,49
2010-04-13,18.238001,18.238001,18.238001,18.238001,18.238001,19
2010-04-14,18.403999,18.403999,18.403999,18.403999,18.403999,13
2010-04-15,18.424000,18.424000,18.424000,18.424000,18.424000,4
2010-04-16,17.669001,17.669001,17.669001,17.669001,17.669001,2
2010-04-18,null,null,null,null,null,null
2010-04-19,17.725000,17.725000,17.725000,17.725000,17.725000,3
2010-04-20,17.815001,17.815001,17.815001,17.815001,17.815001,3
2010-04-21,18.073000,18.073000,17.889999,18.073000,18.073000,1
2010-04-22,18.006001,18.006001,18.006001,18.006001,18.006001,1
2010-04-23,18.188999,18.188999,18.188999,18.188999,18.188999,2
2010-04-25,null,null,null,null,null,null
2010-04-26,18.334000,18.334000,18.334000,18.334000,18.334000,1
2010-04-27,18.115999,18.115999,18.115999,18.115999,18.115999,11
2010-04-28,18.107000,18.107000,18.107000,18.107000,18.107000,3
2010-04-29,18.090000,18.565001,18.055000,18.549000,18.549000,44456
2010-04-30,18.485001,18.764999,18.455000,18.611000,18.611000,21023
2010-05-02,null,null,null,null,null,null
2010-05-03,18.813000,18.855000,18.500000,18.813000,18.813000,3374
2010-05-04,18.805000,18.820000,17.790001,17.818001,17.818001,409
2010-05-05,17.511000,17.834999,17.090000,17.511000,17.511000,2138
2010-05-06,17.493000,17.709999,17.260000,17.493000,17.493000,470
2010-05-07,18.429001,18.615000,17.480000,18.429001,18.429001,967
2010-05-09,null,null,null,null,null,null
2010-05-10,18.530001,18.530001,18.530001,18.530001,18.530001,418
2010-05-11,19.271999,19.400000,18.410000,19.271999,19.271999,173
2010-05-12,19.639999,19.650000,19.295000,19.639999,19.639999,167
2010-05-13,19.476000,19.476000,19.476000,19.476000,19.476000,116
2010-05-14,19.202000,19.202000,19.202000,19.202000,19.202000,85
2010-05-16,null,null,null,null,null,null
2010-05-17,18.834999,19.309999,18.799999,18.834999,18.834999,170
2010-05-18,18.855000,18.855000,18.855000,18.855000,18.855000,564
2010-05-19,18.091000,18.091000,18.091000,18.091000,18.091000,108
2010-05-20,17.694000,17.694000,17.694000,17.694000,17.694000,9
2010-05-21,17.740000,17.775000,17.500000,17.631001,17.631001,31
2010-05-23,null,null,null,null,null,null
2010-05-24,17.982000,17.982000,17.982000,17.982000,17.982000,33
2010-05-25,17.930000,17.930000,17.565001,17.763000,17.763000,48
2010-05-26,18.292000,18.292000,18.292000,18.292000,18.292000,51
2010-05-27,18.457001,18.540001,18.174999,18.457001,18.457001,140
2010-05-28,18.410999,18.600000,18.379999,18.410999,18.410999,195
2010-05-30,null,null,null,null,null,null
2010-06-01,18.540001,18.629999,18.450001,18.540001,18.540001,15
2010-06-02,18.304001,18.304001,18.304001,18.304001,18.304001,18
2010-06-03,17.920000,17.920000,17.920000,17.920000,17.920000,11
2010-06-04,17.290001,17.799999,17.290001,17.290001,17.290001,19
2010-06-06,null,null,null,null,null,null
2010-06-07,18.153000,18.160000,17.309999,18.153000,18.153000,8
2010-06-08,18.468000,18.468000,17.309999,18.468000,18.468000,49
2010-06-09,18.180000,18.299999,18.165001,18.180000,18.180000,1
2010-06-10,18.341999,18.341999,18.341999,18.341999,18.341999,2
2010-06-11,18.222000,18.280001,18.200001,18.222000,18.222000,2
2010-06-13,null,null,null,null,null,null
2010-06-14,18.402000,18.402000,18.402000,18.402000,18.402000,2
2010-06-15,18.569000,18.575001,18.200001,18.569000,18.569000,2
2010-06-16,18.431999,18.431999,18.431999,18.431999,18.431999,1
2010-06-17,18.767000,18.767000,18.549999,18.767000,18.767000,1
2010-06-18,19.174999,19.174999,19.174999,19.174999,19.174999,2
2010-06-20,null,null,null,null,null,null
2010-06-21,18.802000,18.802000,18.802000,18.802000,18.802000,1
2010-06-22,18.896000,18.896000,18.896000,18.896000,18.896000,1
2010-06-23,18.454000,18.454000,18.454000,18.454000,18.454000,1
2010-06-24,18.731001,18.731001,18.731001,18.731001,18.731001,1
2010-06-25,19.105000,19.105000,19.105000,19.105000,19.105000,5
2010-06-27,null,null,null,null,null,null
2010-06-28,18.673000,18.673000,18.673000,18.673000,18.673000,5
2010-06-29,18.730000,18.775000,18.370001,18.594000,18.594000,30687
2010-06-30,18.671000,18.770000,18.450001,18.671000,18.671000,13683
2010-07-01,18.584999,18.660000,17.719999,17.760000,17.760000,1885
2010-07-02,17.698000,18.080000,17.620001,17.698000,17.698000,1177
2010-07-04,null,null,null,null,null,null
2010-07-06,17.855000,18.000000,17.600000,17.833000,17.833000,793
2010-07-07,17.979000,18.055000,17.555000,17.979000,17.979000,225
2010-07-08,17.851999,18.165001,17.740000,17.851999,17.851999,178
2010-07-09,18.052999,18.052999,18.052999,18.052999,18.052999,155
2010-07-11,null,null,null,null,null,null
2010-07-12,17.896999,17.896999,17.896999,17.896999,17.896999,97
2010-07-13,17.920000,18.330000,17.875000,18.237000,18.237000,36
2010-07-14,18.274000,18.350000,18.105000,18.274000,18.274000,98
2010-07-15,18.346001,18.420000,18.195000,18.346001,18.346001,120
2010-07-16,17.773001,17.773001,17.773001,17.773001,17.773001,38
2010-07-18,null,null,null,null,null,null
2010-07-19,17.534000,17.865000,17.495001,17.534000,17.534000,269
2010-07-20,17.684999,17.684999,17.684999,17.684999,17.684999,302
2010-07-21,17.798000,17.895000,17.655001,17.798000,17.798000,115
2010-07-22,18.115000,18.115000,18.115000,18.115000,18.115000,200
2010-07-23,18.096001,18.190001,18.090000,18.096001,18.096001,12
2010-07-25,null,null,null,null,null,null
2010-07-26,18.195000,18.195000,18.025000,18.195000,18.195000,228
2010-07-27,17.621000,18.209999,17.600000,17.621000,17.621000,36
2010-07-28,17.423000,17.423000,17.423000,17.423000,17.423000,52
2010-07-29,17.601000,17.601000,17.601000,17.601000,17.601000,133
2010-07-30,17.987000,17.987000,17.987000,17.987000,17.987000,121
2010-08-01,null,null,null,null,null,null
2010-08-02,18.403000,18.403000,18.403000,18.403000,18.403000,1
2010-08-03,18.407000,18.407000,18.407000,18.407000,18.407000,1
2010-08-04,18.263000,18.263000,18.263000,18.263000,18.263000,3
2010-08-05,18.308001,18.308001,18.308001,18.308001,18.308001,3
2010-08-06,18.459000,18.459000,18.459000,18.459000,18.459000,3
2010-08-08,null,null,null,null,null,null
2010-08-09,18.229000,18.229000,18.229000,18.229000,18.229000,3
2010-08-10,18.146000,18.146000,18.146000,18.146000,18.146000,3
2010-08-11,17.889999,17.889999,17.889999,17.889999,17.889999,3
2010-08-12,18.052999,18.052999,18.052999,18.052999,18.052999,3
2010-08-13,18.097000,18.097000,18.097000,18.097000,18.097000,3
2010-08-15,null,null,null,null,null,null
2010-08-16,18.417999,18.417999,18.100000,18.417999,18.417999,2
2010-08-17,18.586000,18.586000,18.586000,18.586000,18.586000,5
2010-08-18,18.389999,18.389999,18.389999,18.389999,18.389999,5
2010-08-19,18.318001,18.318001,18.318001,18.318001,18.318001,6
2010-08-20,17.982000,17.982000,17.982000,17.982000,17.982000,6
2010-08-22,null,null,null,null,null,null
2010-08-23,17.983000,17.983000,17.983000,17.983000,17.983000,3
2010-08-24,18.368999,18.368999,18.368999,18.368999,18.368999,1
2010-08-25,19.021999,19.021999,19.021999,19.021999,19.021999,1
2010-08-26,18.978001,18.978001,18.978001,18.978001,18.978001,1
2010-08-27,19.039000,19.039000,19.039000,19.039000,19.039000,3
2010-08-29,null,null,null,null,null,null
2010-08-30,19.070000,19.240000,18.985001,19.038000,19.038000,36100
2010-08-31,19.025000,19.400000,18.830000,19.398001,19.398001,6886
2010-09-01,19.358999,19.495001,19.299999,19.358999,19.358999,1753
